# Simulation 1 (Up to date)
# 1070 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26,9 m/s):  "Std Parabolic Parachute [Cd .97 (2.4 oz)]"
#   Recovery device deployment at high speed (24,8 m/s):  "Std Parabolic Parachute [Cd .97 (17 oz)]"
#
# posizione CP  (cm),posizione CG (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
202.176,162.097
202.051,162.097
201.992,162.097
202.173,162.097
201.997,162.097
201.874,162.097
201.82,162.097
201.802,162.097
201.866,162.097
201.938,162.097
201.979,162.097
201.893,162.097
201.914,162.097
201.958,162.097
202.06,162.097
201.911,162.097
201.864,162.097
201.833,162.097
201.859,162.097
201.824,162.097
201.689,162.097
201.592,162.097
201.535,162.097
201.607,162.097
201.599,162.097
201.665,162.097
201.851,162.097
201.743,162.097
201.589,162.097
201.381,162.097
201.15,162.097
201.009,162.097
200.973,162.097
201.089,162.097
201.293,162.097
201.561,162.097
201.782,162.097
201.785,162.097
201.712,162.097
201.776,162.097
201.564,162.097
201.334,162.097
201.137,162.097
201.157,162.097
201.126,162.097
201.154,162.097
201.162,162.097
201.053,162.097
201.023,162.097
201.027,162.097
200.972,162.097
201.029,162.097
201.271,162.097
201.652,162.097
201.308,162.097
201.098,162.097
200.909,162.097
200.664,162.097
200.556,162.097
200.54,162.097
200.389,162.097
200.426,162.097
200.508,162.097
200.48,162.097
200.626,162.097
200.666,162.097
200.675,162.097
200.966,162.097
201.274,162.097
201.372,162.097
201.526,162.097
201.165,162.097
200.815,162.097
200.785,162.097
200.712,162.097
200.305,162.097
200.102,162.097
200.048,162.097
200.256,162.097
200.395,162.097
200.387,162.097
200.574,162.097
200.849,162.097
201.036,162.097
201.154,162.097
201.329,162.097
201.051,162.097
201.062,162.097
200.957,162.097
200.819,162.097
200.655,162.097
200.383,162.097
200.214,162.097
199.983,162.097
200.012,162.097
199.834,162.097
199.864,162.097
200.143,162.097
200.343,162.097
200.302,162.097
200.28,162.097
200.409,162.097
200.604,162.097
200.642,162.097
200.72,162.097
200.941,162.097
201.151,162.097
201.178,162.097
200.877,162.097
200.612,162.097
200.498,162.097
200.45,162.097
200.381,162.097
200.37,162.097
200.22,162.097
200.042,162.097
199.953,162.097
200.152,162.097
200.475,162.097
200.711,162.097
200.98,162.097
201.205,162.097
200.798,162.097
200.688,162.097
200.71,162.097
200.536,162.097
200.472,162.097
200.345,162.097
200.202,162.097
200.291,162.097
200.229,162.097
199.973,162.097
199.699,162.097
199.673,162.097
199.648,162.097
199.531,162.097
199.75,162.097
199.858,162.097
199.649,162.097
199.321,162.097
199.059,162.097
198.958,162.097
198.777,162.097
198.645,162.097
198.69,162.097
198.886,162.097
199.248,162.097
199.503,162.097
199.584,162.097
199.828,162.097
200.158,162.097
200.487,162.097
200.395,162.097
200.508,162.097
200.745,162.097
200.771,162.097
200.918,162.097
200.824,162.097
200.904,162.097
200.889,162.097
200.874,162.097
201.024,162.097
200.934,162.097
200.728,162.097
200.712,162.097
200.778,162.097
200.749,162.097
200.826,162.097
200.603,162.097
200.104,162.097
199.752,162.097
199.314,162.097
199.096,162.097
199.006,162.097
198.886,162.097
198.795,162.097
198.494,162.097
198.376,162.097
198.438,162.097
198.436,162.097
198.131,162.097
197.83,162.097
197.709,162.097
197.404,162.097
196.903,162.097
196.64,162.097
196.625,162.097
196.692,162.097
196.661,162.097
196.559,162.097
196.309,162.097
195.947,162.097
195.669,162.097
195.37,162.097
195.255,162.097
195.116,162.097
194.846,162.097
194.659,162.097
194.598,162.097
194.455,162.097
194.359,162.097
194.316,162.097
194.186,162.097
194.111,162.097
194.118,162.097
194.026,162.097
193.887,162.097
193.938,162.097
194.033,162.097
193.849,162.097
193.63,162.097
193.61,162.097
193.649,162.097
193.575,162.097
193.438,162.097
193.381,162.097
193.414,162.097
193.397,162.097
193.398,162.097
193.354,162.097
193.33,162.097
193.344,162.097
193.374,162.097
193.415,162.097
193.425,162.097
193.448,162.097
193.512,162.097
193.566,162.097
193.611,162.097
193.646,162.097
193.691,162.097
193.735,162.097
193.789,162.097
# Event APOGEE occurred at t=24.93 seconds
193.858,162.097
