Calibration (sys),Calibration (gyro),Calibration (accel),Calibration (mag),Roll [deg],Pitch [deg],Yaw [deg],Angular velocity (x),Angular velocity (y),Angular velocity (z),Linear acceleration (x),Linear acceleration (y),Linear acceleration (z),Acceleration (x),Acceleration (y),Acceleration (z),Gravity (x),Gravity (y),Gravity (z),Magnetometer (x),Magnetometer (y),Magnetometer (z),Quaternion (w),Quaternion (x),Quaternion (y),Quaternion (z),Pressure [Pa],Temperature [K],Altitude [m],Time [s]
calibration_sys,calibration_gyro,calibration_accel,calibration_mag,orientation_x,orientation_y,orientation_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,acceleration_x,acceleration_y,acceleration_z,gravity_x,gravity_y,gravity_z,magnetometer_x,magnetometer_y,magnetometer_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,pressure,temperature,altitude,timestamp
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,55.1205,0.0000,1.0244,45.3739,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2756,0.308593,-0.016173,0.049774,-0.949753,98656.75,280.84,288.19,0.4571
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,55.3997,0.0000,1.0244,45.6531,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2756,0.308593,-0.016173,0.049774,-0.949753,98648.84,280.85,288.85,0.4857
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,55.6790,-0.0000,1.0244,45.9324,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2756,0.308593,-0.016173,0.049774,-0.949753,98640.39,280.86,289.56,0.5143
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,55.9537,0.0000,1.0244,46.2071,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2755,0.308593,-0.016173,0.049774,-0.949753,98631.40,280.86,290.31,0.5429
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,56.0920,-0.0000,1.0244,46.3454,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2755,0.308593,-0.016173,0.049774,-0.949753,98621.86,280.87,291.11,0.5714
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,56.1646,-0.0000,1.0244,46.4180,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2755,0.308593,-0.016173,0.049774,-0.949753,98611.78,280.87,291.95,0.6000
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,56.2365,-0.0000,1.0244,46.4899,0.0000,1.0244,-9.7466,-14.9579,-16.2461,-38.2755,0.308593,-0.016173,0.049774,-0.949753,98601.15,280.88,292.84,0.6286
3,3,3,3,-0.0080,-5.9975,-143.9920,0.0051,-0.0017,0.0000,0.0689,0.8116,56.3064,0.0687,1.8356,46.5598,-0.0001,1.0240,-9.7466,-14.9584,-16.2478,-38.2746,0.308594,-0.016173,0.049752,-0.949754,98589.98,280.89,293.77,0.6571
3,3,3,3,-0.0580,-5.9821,-143.9416,0.0138,-0.0047,0.0000,0.1217,1.3815,56.3756,0.1206,2.4028,46.6287,-0.0010,1.0214,-9.7469,-14.9619,-16.2581,-38.2688,0.308599,-0.016175,0.049609,-0.949760,98578.26,280.89,294.75,0.6857
3,3,3,3,-0.1563,-5.9521,-143.8428,0.0228,-0.0078,0.0000,0.1278,1.3964,56.4450,0.1250,2.4126,46.6975,-0.0028,1.0163,-9.7474,-14.9687,-16.2781,-38.2576,0.308607,-0.016179,0.049333,-0.949772,98565.99,280.90,295.77,0.7143
3,3,3,3,-0.3056,-5.9074,-143.6927,0.0319,-0.0110,0.0000,0.1327,1.4074,56.5134,0.1274,2.4160,46.7652,-0.0054,1.0086,-9.7482,-14.9790,-16.3080,-38.2408,0.308620,-0.016185,0.048921,-0.949789,98553.17,280.91,296.84,0.7429
3,3,3,3,-0.5096,-5.8477,-143.4877,0.0412,-0.0142,-0.0000,0.1363,1.4142,56.5657,0.1274,2.4126,46.8165,-0.0089,0.9985,-9.7492,-14.9927,-16.3479,-38.2184,0.308637,-0.016195,0.048370,-0.949811,98539.81,280.92,297.96,0.7714
3,3,3,3,-0.7723,-5.7730,-143.2236,0.0505,-0.0175,0.0000,0.1384,1.4163,56.5596,0.1251,2.4020,46.8090,-0.0133,0.9857,-9.7505,-15.0099,-16.3979,-38.1901,0.308659,-0.016207,0.047678,-0.949839,98525.90,280.93,299.12,0.8000
3,3,3,3,-1.0990,-5.6833,-142.8953,0.0597,-0.0208,0.0000,0.1388,1.4134,56.5466,0.1202,2.3837,46.7945,-0.0186,0.9703,-9.7521,-15.0308,-16.4580,-38.1560,0.308685,-0.016224,0.046846,-0.949872,98511.44,280.94,300.33,0.8286
