# Atlas_v1.0 (Up to date)
# 1120 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26.1 m/s):  "main"
#
# Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
14.589,0.075,209.641,161.919
14.589,0.075,209.744,161.919
14.589,0.075,209.979,161.919
14.589,0.075,209.776,161.919
14.589,0.075,209.529,161.919
14.589,0.075,209.363,161.919
14.589,0.075,209.344,161.919
14.589,0.075,209.477,161.919
14.589,0.075,209.572,161.919
14.589,0.075,209.454,161.919
14.589,0.075,209.156,161.919
14.589,0.075,209.035,161.919
14.589,0.075,209.054,161.919
14.589,0.075,209.169,161.919
14.589,0.075,209.248,161.919
14.589,0.075,209.16,161.919
14.589,0.075,208.91,161.919
14.589,0.075,208.764,161.919
14.589,0.075,208.747,161.919
14.589,0.075,208.784,161.919
14.589,0.075,208.872,161.919
14.589,0.075,208.861,161.919
14.589,0.075,208.597,161.919
14.589,0.075,208.367,161.919
14.589,0.075,208.305,161.919
14.589,0.075,208.349,161.919
14.589,0.075,208.462,161.919
14.589,0.075,208.501,161.919
14.589,0.075,208.17,161.919
14.589,0.075,208.006,161.919
14.589,0.075,207.967,161.919
14.589,0.075,208.07,161.919
14.589,0.075,208.249,161.919
14.589,0.075,208.181,161.919
14.589,0.075,207.947,161.919
14.589,0.075,207.807,161.919
14.589,0.075,207.819,161.919
14.589,0.075,207.901,161.919
14.589,0.075,208.027,161.919
14.589,0.075,207.954,161.919
14.589,0.075,207.826,161.919
14.589,0.075,207.766,161.919
14.589,0.075,207.645,161.919
14.589,0.075,207.554,161.919
14.589,0.075,207.593,161.919
14.589,0.075,207.628,161.919
14.589,0.075,207.681,161.919
14.589,0.075,207.464,161.919
14.589,0.075,207.377,161.919
14.589,0.075,207.284,161.919
14.589,0.075,207.222,161.919
14.589,0.075,207.257,161.919
14.589,0.075,207.441,161.919
14.589,0.075,207.226,161.919
14.589,0.075,207.075,161.919
14.589,0.075,207.027,161.919
14.589,0.075,207.068,161.919
14.589,0.075,207.195,161.919
14.589,0.075,207.117,161.919
14.589,0.075,207.057,161.919
14.589,0.075,207.034,161.919
14.589,0.075,206.988,161.919
14.589,0.075,206.986,161.919
14.589,0.075,206.945,161.919
14.589,0.075,206.988,161.919
14.589,0.075,206.933,161.919
14.589,0.075,206.927,161.919
14.589,0.075,206.868,161.919
14.589,0.075,206.862,161.919
14.589,0.075,206.775,161.919
14.589,0.075,206.661,161.919
14.589,0.075,206.68,161.919
14.589,0.075,206.741,161.919
14.589,0.075,206.652,161.919
14.589,0.075,206.626,161.919
14.589,0.075,206.605,161.919
14.589,0.075,206.618,161.919
14.589,0.075,206.543,161.919
14.589,0.075,206.501,161.919
14.589,0.075,206.507,161.919
14.589,0.075,206.411,161.919
14.589,0.075,206.312,161.919
14.589,0.075,206.336,161.919
14.589,0.075,206.36,161.919
14.589,0.075,206.389,161.919
14.589,0.075,206.245,161.919
14.589,0.075,206.116,161.919
14.589,0.075,206.137,161.919
14.589,0.075,206.094,161.919
14.589,0.075,206.003,161.919
14.589,0.075,206.033,161.919
14.589,0.075,206.115,161.919
14.589,0.075,206.158,161.919
14.589,0.075,206.137,161.919
14.589,0.075,206.127,161.919
14.589,0.075,206.029,161.919
14.589,0.075,205.892,161.919
14.589,0.075,205.785,161.919
14.589,0.075,205.591,161.919
14.589,0.075,205.431,161.919
14.589,0.075,205.472,161.919
14.589,0.075,205.68,161.919
14.589,0.075,205.906,161.919
14.589,0.075,205.687,161.919
14.589,0.075,205.491,161.919
14.589,0.075,205.471,161.919
14.589,0.075,205.484,161.919
14.589,0.075,205.584,161.919
14.589,0.075,205.664,161.919
14.589,0.075,205.763,161.919
14.589,0.075,205.664,161.919
14.589,0.075,205.54,161.919
14.589,0.075,205.469,161.919
14.589,0.075,205.596,161.919
14.589,0.075,205.64,161.919
14.589,0.075,205.605,161.919
14.589,0.075,205.597,161.919
14.589,0.075,205.458,161.919
14.589,0.075,205.33,161.919
14.589,0.075,205.209,161.919
14.589,0.075,205.168,161.919
14.589,0.075,205.374,161.919
14.589,0.075,205.488,161.919
14.589,0.075,205.33,161.919
14.589,0.075,205.306,161.919
14.589,0.075,205.314,161.919
14.589,0.075,205.385,161.919
14.589,0.075,205.402,161.919
14.589,0.075,205.35,161.919
14.589,0.075,205.232,161.919
14.589,0.075,205.134,161.919
14.589,0.075,205.178,161.919
14.589,0.075,205.151,161.919
14.589,0.075,205.105,161.919
14.589,0.075,205.141,161.919
14.589,0.075,205.184,161.919
14.589,0.075,205.096,161.919
14.589,0.075,204.945,161.919
14.589,0.075,204.963,161.919
14.589,0.075,204.968,161.919
14.589,0.075,204.964,161.919
14.589,0.075,205.043,161.919
14.589,0.075,204.97,161.919
14.589,0.075,204.93,161.919
14.589,0.075,204.978,161.919
14.589,0.075,204.959,161.919
14.589,0.075,204.967,161.919
14.589,0.075,204.965,161.919
14.589,0.075,204.994,161.919
14.589,0.075,204.884,161.919
14.589,0.075,204.812,161.919
14.589,0.075,204.735,161.919
14.589,0.075,204.631,161.919
14.589,0.075,204.59,161.919
14.589,0.075,204.667,161.919
14.589,0.075,204.707,161.919
14.589,0.075,204.714,161.919
14.589,0.075,204.752,161.919
14.589,0.075,204.837,161.919
14.589,0.075,204.693,161.919
14.589,0.075,204.599,161.919
14.589,0.075,204.471,161.919
14.589,0.075,204.446,161.919
14.589,0.075,204.485,161.919
14.589,0.075,204.414,161.919
14.589,0.075,204.409,161.919
14.589,0.075,204.54,161.919
14.589,0.075,204.676,161.919
14.589,0.075,204.563,161.919
14.589,0.075,204.557,161.919
14.589,0.075,204.537,161.919
14.589,0.075,204.429,161.919
14.589,0.075,204.341,161.919
14.589,0.075,204.283,161.919
14.589,0.075,204.37,161.919
14.589,0.075,204.347,161.919
14.589,0.075,204.212,161.919
14.589,0.075,204.104,161.919
14.589,0.075,204.197,161.919
14.589,0.075,204.187,161.919
14.589,0.075,204.194,161.919
14.589,0.075,204.16,161.919
14.589,0.075,204.224,161.919
14.589,0.075,204.484,161.919
14.589,0.075,204.434,161.919
14.589,0.075,204.42,161.919
14.589,0.075,204.182,161.919
14.589,0.075,204.054,161.919
14.589,0.075,204.079,161.919
14.589,0.075,203.973,161.919
14.589,0.075,203.84,161.919
14.589,0.075,203.918,161.919
14.589,0.075,204.004,161.919
14.589,0.075,204.093,161.919
14.589,0.075,204.233,161.919
14.589,0.075,204.194,161.919
14.589,0.075,204.029,161.919
14.589,0.075,203.939,161.919
14.589,0.075,203.715,161.919
14.589,0.075,203.547,161.919
14.589,0.075,203.664,161.919
14.589,0.075,203.774,161.919
14.589,0.075,203.696,161.919
14.589,0.075,203.574,161.919
14.589,0.075,203.605,161.919
14.589,0.075,203.718,161.919
14.589,0.075,203.843,161.919
14.589,0.075,203.927,161.919
14.589,0.075,204.06,161.919
14.589,0.075,203.995,161.919
14.589,0.075,203.559,161.919
14.589,0.075,203.194,161.919
14.589,0.075,203.042,161.919
14.589,0.075,203.046,161.919
14.589,0.075,203.174,161.919
14.589,0.075,203.095,161.919
14.589,0.075,202.877,161.919
14.589,0.075,202.948,161.919
14.589,0.075,203.136,161.919
14.589,0.075,203.2,161.919
14.589,0.075,203.258,161.919
14.589,0.075,203.365,161.919
14.589,0.075,203.691,161.919
14.589,0.075,203.679,161.919
14.589,0.075,203.582,161.919
14.589,0.075,203.679,161.919
14.589,0.075,203.791,161.919
14.589,0.075,203.972,161.919
14.589,0.075,203.764,161.919
14.589,0.075,203.748,161.919
14.589,0.075,203.488,161.919
14.589,0.075,203.142,161.919
14.589,0.075,203.12,161.919
14.589,0.075,203.223,161.919
14.589,0.075,203.318,161.919
14.589,0.075,203.369,161.919
14.589,0.075,203.405,161.919
14.589,0.075,203.376,161.919
14.589,0.075,203.341,161.919
14.589,0.075,203.384,161.919
14.589,0.075,203.194,161.919
14.589,0.075,202.956,161.919
14.589,0.075,202.915,161.919
14.589,0.075,202.78,161.919
14.589,0.075,202.552,161.919
14.589,0.075,202.598,161.919
14.589,0.075,202.569,161.919
14.589,0.075,202.744,161.919
14.589,0.075,202.863,161.919
14.589,0.075,203.049,161.919
14.589,0.075,203.347,161.919
14.589,0.075,203.562,161.919
14.589,0.075,203.568,161.919
14.589,0.075,203.492,161.919
14.589,0.075,203.654,161.919
14.589,0.075,203.619,161.919
14.589,0.075,203.38,161.919
14.589,0.075,203.371,161.919
14.589,0.075,203.606,161.919
14.589,0.075,203.613,161.919
14.589,0.075,203.518,161.919
14.589,0.075,203.301,161.919
14.589,0.075,203.098,161.919
14.589,0.075,203.122,161.919
14.589,0.075,203.035,161.919
14.589,0.075,202.832,161.919
14.589,0.075,202.629,161.919
14.589,0.075,202.465,161.919
14.589,0.075,202.023,161.919
14.589,0.075,202.008,161.919
14.589,0.075,202.225,161.919
14.589,0.075,202.051,161.919
14.589,0.075,202.049,161.919
14.589,0.075,202.376,161.919
14.589,0.075,202.465,161.919
14.589,0.075,202.462,161.919
14.589,0.075,202.399,161.919
14.589,0.075,202.356,161.919
14.589,0.075,202.389,161.919
14.589,0.075,202.622,161.919
14.589,0.075,202.873,161.919
14.589,0.075,203.07,161.919
14.589,0.075,203.396,161.919
14.589,0.075,203.475,161.919
14.589,0.075,203.543,161.919
14.589,0.075,203.359,161.919
14.589,0.075,203.07,161.919
14.589,0.075,202.895,161.919
14.589,0.075,202.79,161.919
14.589,0.075,202.642,161.919
14.589,0.075,202.299,161.919
14.589,0.075,202.057,161.919
14.589,0.075,202.124,161.919
14.589,0.075,201.887,161.919
14.589,0.075,201.567,161.919
14.589,0.075,201.621,161.919
14.589,0.075,201.597,161.919
14.589,0.075,201.759,161.919
14.589,0.075,201.927,161.919
14.589,0.075,202.162,161.919
14.589,0.075,202.367,161.919
14.589,0.075,202.173,161.919
14.589,0.075,202.222,161.919
14.589,0.075,202.478,161.919
14.589,0.075,202.256,161.919
14.589,0.075,201.695,161.919
14.589,0.075,201.612,161.919
14.589,0.075,201.745,161.919
14.589,0.075,201.376,161.919
14.589,0.075,200.856,161.919
14.589,0.075,200.571,161.919
14.589,0.075,200.23,161.919
14.589,0.075,199.933,161.919
14.589,0.075,199.897,161.919
14.589,0.075,199.527,161.919
14.589,0.075,199.195,161.919
14.589,0.075,199.293,161.919
14.589,0.075,199.614,161.919
14.589,0.075,199.933,161.919
14.589,0.075,199.982,161.919
14.589,0.075,199.935,161.919
14.589,0.075,199.762,161.919
14.589,0.075,199.59,161.919
14.589,0.075,200.018,161.919
14.589,0.075,200.758,161.919
14.589,0.075,201.126,161.919
14.589,0.075,201.165,161.919
14.589,0.075,201.106,161.919
14.589,0.075,201.117,161.919
14.589,0.075,202.009,161.919
14.589,0.075,202.397,161.919
14.589,0.075,202.25,161.919
14.589,0.075,202.361,161.919
14.589,0.075,202.42,161.919
14.589,0.075,202.23,161.919
14.589,0.075,201.988,161.919
14.589,0.075,202.064,161.919
14.589,0.075,202.518,161.919
14.589,0.075,202.112,161.919
14.589,0.075,201.767,161.919
14.589,0.075,201.778,161.919
14.589,0.075,201.221,161.919
14.589,0.075,200.768,161.919
14.589,0.075,200.413,161.919
14.589,0.075,200.092,161.919
14.589,0.075,200.09,161.919
14.589,0.075,199.724,161.919
14.589,0.075,199.314,161.919
14.589,0.075,199.567,161.919
14.589,0.075,199.751,161.919
14.589,0.075,199.557,161.919
14.589,0.075,199.059,161.919
14.589,0.075,199.18,161.919
14.589,0.075,199.192,161.919
14.589,0.075,199.154,161.919
14.589,0.075,199.446,161.919
14.589,0.075,199.439,161.919
14.589,0.075,199.188,161.919
14.589,0.075,198.426,161.919
14.589,0.075,198.067,161.919
14.589,0.075,197.678,161.919
14.589,0.075,197.176,161.919
14.589,0.075,196.732,161.919
14.589,0.075,195.668,161.919
14.589,0.075,195.062,161.919
14.589,0.075,194.8,161.919
14.589,0.075,194.238,161.919
14.589,0.075,193.211,161.919
14.589,0.075,192.37,161.919
14.589,0.075,191.208,161.919
14.589,0.075,189.923,161.919
14.589,0.075,188.764,161.919
14.589,0.075,187.872,161.919
14.589,0.075,186.505,161.919
14.589,0.075,185.197,161.919
14.589,0.075,184.486,161.919
14.589,0.075,183.671,161.919
14.589,0.075,182.609,161.919
14.589,0.075,181.81,161.919
14.589,0.075,181.249,161.919
14.589,0.075,180.722,161.919
14.589,0.075,180.032,161.919
14.589,0.075,179.052,161.919
14.589,0.075,178.174,161.919
14.589,0.075,177.45,161.919
14.589,0.075,176.724,161.919
14.589,0.075,176.114,161.919
14.589,0.075,175.651,161.919
14.589,0.075,175.207,161.919
14.589,0.075,174.775,161.919
14.589,0.075,174.437,161.919
14.589,0.075,197.788,161.919
14.589,0.075,198.905,161.919
14.589,0.075,200.058,161.919
14.589,0.075,200.883,161.919
# Event APOGEE occurred at t=25.871 seconds
14.589,0.075,202.034,161.919
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=25.872 seconds
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
14.589,0.075,0,161.919
